Vendor ID | Product ID | Description
0x1d50 | 0x1db5 | [http://www.almesberger.net/misc/idbg/ IDBG] in DFU mode
0x1d50 | 0x1db6 | [http://www.almesberger.net/misc/idbg/ IDBG] in normal mode
0x1d50 | 0x4xxx | Reserved for the [http://osmocom.org/ Osmocom] project
0x1457 / 0x1d50 | 0x5117 | Neo1973/FreeRunner kernel usbnet (g_ether, CDC Ethernet) Mode
0x1457 / 0x1d50 | 0x5118 | Debug Board (FT2232D) for Neo1973/FreeRunner
0x1457 / 0x1d50 | 0x5119 | Neo1973/FreeRunner u-boot usbtty CDC ACM Mode
0x1457 / 0x1d50 | 0x511a | HXD8 u-boot usbtty CDC ACM Mode
0x1457 / 0x1d50 | 0x511b | SMDK2440 u-boot usbtty CDC ACM mode
0x1457 / 0x1d50 | 0x511c | SMDK2443 u-boot usbtty CDC ACM mode
0x1457 / 0x1d50 | 0x511d | QT2410 u-boot usbtty CDC ACM mode
0x1457 / 0x1d50 | 0x511e | Reserved
0x1457 / 0x1d50 | 0x511f | Reserved
0x1457 / 0x1d50 | 0x5120 | Neo1973/FreeRunner u-boot generic serial Mode
0x1457 / 0x1d50 | 0x5121 | Neo1973/FreeRunner kernel mass storage (g_storage) Mode
0x1457 / 0x1d50 | 0x5122 | Neo1973/FreeRunner kernel usbnet (g_ether, RNDIS) Mode
0x1457 / 0x1d50 | 0x5123 | Neo1973/FreeRunner internal USB Bluetooth CSR4 module
0x1457 / 0x1d50 | 0x5124 | Neo1973/FreeRunner Bluetooth Device ID service
0x1457 / 0x1d50 | 0x5125 | TBD *R!*
0x1457 / 0x1d50 | 0x5126 | TBD *R!*
0x1d50 | 0x5200-0x52ff | Reserved for use in documentation concerning the configuration of USB buses and devices.
0x1d50 | 0x5300-0x53ff | [http://rockbox.org/ rockbox: free replacement firmware for digital music players]
0x1d50 | 0x6000 | [http://ubertooth.sourceforge.net/ Ubertooth Zero]
0x1d50 | 0x6001 | [http://ubertooth.sourceforge.net/ Ubertooth Zero DFU]
0x1d50 | 0x6002 | [http://ubertooth.sourceforge.net/ Ubertooth One]
0x1d50 | 0x6003 | [http://ubertooth.sourceforge.net/ Ubertooth One DFU]
0x1d50 | 0x6004 | LeoLipo // (Arduino Leonardo clone with LiPo charger)
0x1d50 | 0x6005 | [http://cccgoe.de/wiki/LED_Flower_S LED Flower S]
0x1d50 | 0x6006 | [http://cccgoe.de/wiki/LED_Cube LED Cube]
0x1d50 | 0x6007 | [http://cccgoe.de/wiki/LED_Flower LED Flower]
0x1d50 | 0x6008 | [https://www.kismetwireless.net/kisbee/ Kisbee 802.15.4 transceiver]
0x1d50 | 0x6009 | [http://adjacentreality.org/ Adjacent Reality Tracker]
0x1d50 | 0x600a | [https://github.com/sowbug/avr-programmer AVR Programmer]
0x1d50 | 0x600b | [https://github.com/sowbug/hypnagogo Hypna Go Go]
0x1d50 | 0x600c | [https://github.com/Miceuz/CatNip CatNip LPC1343 development board]
0x1d50 | 0x600d | [http://robotgrrl.com/robobrrd Enhanced RoboBrrd Brain Board]
0x1d50 | 0x600e | [http://opencores.org/or1k/Ordb2a-ep4ce22 OpenRISC Ordb2a-ep4ce22 development board]
0x1d50 | 0x600f | [http://paparazzi.enac.fr/wiki/Main_Page Paparazzi Lisa/M (DFU)]
0x1d50 | 0x6010 | [http://www.openpipe.cc/ OpenPipe: OSHW Bagpipes MIDI controller]
0x1d50 | 0x6011 | LeoLipo (DFU)
